"Project";"Task";"Date";"Start";"End";"Duration";"Comment"
"PhotoOps";"Planning";"2013-10-07";"2013-10-07 17:45:00";"2013-10-07 20:00:00";"02:15:00";"notes on SOW / Contract"
"PhotoOps";"Planning";"2013-10-08";"2013-10-08 09:00:00";"2013-10-08 09:30:00";"00:30:00";""
"PhotoOps";"Planning";"2013-10-09";"2013-10-09 09:00:00";"2013-10-09 09:15:00";"00:14:59";"checkin / record hours / etc"
"PhotoOps";"Planning";"2013-10-10";"2013-10-10 09:45:00";"2013-10-10 10:00:00";"00:15:00";""
"PhotoOps";"Planning";"2013-10-11";"2013-10-11 09:00:00";"2013-10-11 09:30:00";"00:29:59";"checkin
record hours"
"PhotoOps";"Planning";"2013-10-12";"2013-10-12 09:00:00";"2013-10-12 09:30:00";"00:29:59";"check in / report hours"
"PhotoOps";"Planning";"2013-10-14";"2013-10-14 08:30:00";"2013-10-14 08:45:00";"00:15:00";"checkin"
"PhotoOps";"Planning";"2013-10-15";"2013-10-15 08:45:00";"2013-10-15 09:00:00";"00:15:00";"checkin"
"PhotoOps";"Planning";"2013-10-16";"2013-10-16 08:45:00";"2013-10-16 09:00:00";"00:15:00";"check in / record hours / projects worked"
"PhotoOps";"Planning";"2013-10-17";"2013-10-17 09:00:00";"2013-10-17 09:15:00";"00:15:00";"checkin / record hours"
"PhotoOps";"Planning";"2013-10-18";"2013-10-18 08:45:00";"2013-10-18 09:15:00";"00:30:00";"checkin / record hours"
"PhotoOps";"Planning";"2013-10-19";"2013-10-19 09:00:00";"2013-10-19 09:30:00";"00:30:00";"checkin / record hours / enter tickets"
"PhotoOps";"Planning";"2013-10-21";"2013-10-21 09:15:00";"2013-10-21 09:30:00";"00:15:00";"check in / review goals / "
"PhotoOps";"Planning";"2013-10-21";"2013-10-21 10:45:00";"2013-10-21 11:15:00";"00:30:00";"SOW copy / sign / send"
"PhotoOps";"Planning";"2013-10-21";"2013-10-21 12:30:00";"2013-10-21 13:30:00";"01:00:00";""
"PhotoOps";"Planning";"2013-10-22";"2013-10-22 09:00:00";"2013-10-22 09:30:00";"00:30:00";""
"PhotoOps";"Planning";"2013-10-23";"2013-10-23 09:15:00";"2013-10-23 09:45:00";"00:30:00";"check in / record hours / email Michael"
"PhotoOps";"Planning";"2013-10-24";"2013-10-24 08:00:00";"2013-10-24 08:15:00";"00:15:00";"checkin / record hours / check emails"
"PhotoOps";"Planning";"2013-10-25";"2013-10-25 09:00:00";"2013-10-25 09:15:00";"00:14:59";"check in / record hrs / email Michael"
"PhotoOps";"Planning";"2013-10-26";"2013-10-26 09:00:00";"2013-10-26 09:15:00";"00:15:00";"checkin / record hrs / standup"
"PhotoOps";"Planning";"2013-10-28";"2013-10-28 08:45:00";"2013-10-28 09:00:00";"00:14:59";"check in"
"PhotoOps";"Planning";"2013-10-29";"2013-10-29 08:45:00";"2013-10-29 09:00:00";"00:14:59";"check in / record hours"
"PhotoOps";"Planning";"2013-10-30";"2013-10-30 09:30:00";"2013-10-30 09:45:00";"00:14:59";"check in / record hours /"
"PhotoOps";"Planning";"2013-10-31";"2013-10-31 09:15:00";"2013-10-31 09:30:00";"00:14:59";"checkin / record hours / check wiki
"
"PhotoOps";"Planning";"2013-11-01";"2013-11-01 08:30:00";"2013-11-01 08:45:00";"00:14:59";"check in / record hrs / check wiki"
"PhotoOps";"Planning";"2013-11-04";"2013-11-04 09:00:00";"2013-11-04 09:15:00";"00:15:00";"checkin / record hours from sat "
"PhotoOps";"Planning";"2013-11-05";"2013-11-05 08:15:00";"2013-11-05 08:30:00";"00:15:00";"check in / record hrs /"
"PhotoOps";"Planning";"2013-11-06";"2013-11-06 08:30:00";"2013-11-06 08:45:00";"00:14:59";"check in / record hours"
"PhotoOps";"Planning";"2013-11-07";"2013-11-07 07:30:00";"2013-11-07 07:45:00";"00:15:00";"check in / record hours / record tasks"
"PhotoOps";"Planning";"2013-11-08";"2013-11-08 08:30:00";"2013-11-08 08:45:00";"00:15:00";"check in / record hours"
"PhotoOps";"Planning";"2013-11-09";"2013-11-09 09:00:00";"2013-11-09 09:15:00";"00:14:59";"check in / record hours"
"PhotoOps";"Planning";"2013-11-11";"2013-11-11 08:30:00";"2013-11-11 08:45:00";"00:15:00";"check in / record hours / check wiki
nothing to do"
"PhotoOps";"Planning";"2013-11-12";"2013-11-12 08:45:00";"2013-11-12 09:00:00";"00:15:00";"checkin / record hours"
"PhotoOps";"Planning";"2013-11-13";"2013-11-13 08:30:00";"2013-11-13 08:45:00";"00:15:00";"check in / record hrs / check wiki"
"PhotoOps";"Planning";"2013-11-14";"2013-11-14 09:15:00";"2013-11-14 09:30:00";"00:14:59";"check in / record hours / check wiki"
"PhotoOps";"Planning";"2013-11-15";"2013-11-15 09:00:00";"2013-11-15 09:15:00";"00:14:59";"check in / record hours / check wiki"
"PhotoOps";"Planning";"2013-11-16";"2013-11-16 08:30:00";"2013-11-16 08:45:00";"00:14:59";"check in / record hours / check email"
